http-interop/http-factory-guzzle	1.2.0	8f06e92b95405216b237521cc64c804dd44c4a81
humanmade/s3-uploads	3.0.9	f5e9a7773afd8c78030e1b6a13580e83e521ba63
illuminate/bus	8.x-dev	d2a8ae4bfd881086e55455e470776358eab27eae
illuminate/collections	8.x-dev	705a4e1ef93cd492c45b9b3e7911cccc990a07f4
illuminate/container	8.x-dev	14062628d05f75047c5a1360b9350028427d568e
illuminate/contracts	8.x-dev	5e0fd287a1b22a6b346a9f7cd484d8cf0234585d
illuminate/events	8.x-dev	b7f06cafb6c09581617f2ca05d69e9b159e5a35d
illuminate/filesystem	8.x-dev	73db3e9a233ed587ba54f52ab8580f3c7bc872b2
illuminate/macroable	8.x-dev	aed81891a6e046fdee72edd497f822190f61c162
illuminate/pipeline	8.x-dev	23aeff5b26ae4aee3f370835c76bd0f4e93f71d2
illuminate/support	8.x-dev	ad030d68770e00a395822a4c243b931be3e4d3c7
illuminate/view	8.x-dev	5e73eef48d9242532f81fadc14c816a01bfb1388
jean85/pretty-package-versions	dev-master	a917488320c20057da87f67d0d40543dd9427f7a
jeradin/acf-dynamic-table-field	dev-master	786b022625f6770e339fc276a8c50058d825ef71
jeradin/acf-website-field	dev-master	17914161e4acfa8273e6804c7a9dd44c65a41581
johannheyne/advanced-custom-fields-table-field	dev-master	1807a23c4baca0c147529b23f8a4223633369be2
johnpbloch/wordpress	6.8.0	1bce452396c7aae56b142f8652daf64a9a355a80
johnpbloch/wordpress-core	6.8.0	74197a5012b0a72834ffc58bb32ef0045f15a26c
johnpbloch/wordpress-core-installer	2.0.0	237faae9a60a4a2e1d45dce1a5836ffa616de63e
justinrainbow/json-schema	5.x-dev	feb2ca6dd1cebdaf1ed60a4c8de2e53ce11c4fd8
landrok/language-detector	dev-master	6335aa9318ff970ceed7716b37d3371804a16d6e
league/commonmark	2.5.3	b650144166dfa7703e62a22e493b853b58d874b0
league/config	v1.1.1	a9d39eeeb6cc49d10a6e6c36f22c4c1f4a767f3e
masterminds/html5	2.9.0	f5ac2c0b0a2eefca70b2ce32a5809992227e75a6
mtdowling/jmespath.php	dev-master	a2a865e05d5f420b50cc2f85bb78d565db12a6bc
municipio-se/modularity-noticeboard	1.1.0	20f2328e4cc76250bb211401a316f3a87362075b
nesbot/carbon	2.x-dev	52474f548a433965fe30ff91bc2c641cdda75885
nette/schema	v1.3.x-dev	54d16a0e75089d74b007f2fe4ae8d45363c3cf8a
nette/utils	dev-master	a5fe1536d1445777e8172bef888ef10678303add
ooksanen/acf-focuspoint	1.2.2	2d062d23bbc94ff4265c4519f80269bdaee96e06
phenx/php-font-lib	0.5.6	a1681e9793040740a405ac5b189275059e2a9863
phenx/php-svg-lib	0.5.4	46b25da81613a9cf43c83b2a8c2c1bdab27df691
php-http/client-common	2.x-dev	0cfe9858ab9d3b213041b947c881d5b19ceeca46
php-http/curl-client	2.x-dev	f3eb48d266341afec0229a7a37a03521d3646b81
php-http/discovery	1.15.3	3ccd28dd9fb34b52db946abea1b538568e34eae8
php-http/httplug	2.x-dev	37819ce3c78ed2e7d001de68b38e697bbd525f89
php-http/message	1.x-dev	a1c3b1e24d07f986c6867bf632ffa168e4eeaaef
php-http/mock-client	1.5.2	934fd352e210f3ab4fbb545998c3791e1a07554f
php-http/promise	1.x-dev	12e12043e9ed9ddc6ea8481593fb230150227416
pragmarx/ia-arr	v7.3.3	6f4303c25cc1a79a55044ca413e0a0d757628fab
psr/clock	1.0.0	e41a24703d4560fd0acb709162f73b8adfc3aa0d
psr/container	1.x-dev	513e0666f7216c7459170d56df27dfcefe1689ea
psr/event-dispatcher	dev-master	bbd9eacc080d33861e5b5c75b3b8c4d7e6d01874
psr/http-client	dev-master	bb5906edc1c324c9a05aa0873d40117941e5fa90
psr/http-factory	1.1.0	2b4765fddfe3b508ac62f829e852b1501d3f6e8a
psr/http-message	1.1	cb6ce4845ce34a8ad9e68117c10ee90a29919eba
psr/log	1.1.4	d49695b909c3b7628b6289db5479a1c204601f11
psr/simple-cache	1.0.1	408d5eafb83c57f6365a3ca330ff23aa4a5fa39b
ralouphie/getallheaders	3.0.3	120b605dfeb996808c31b6477290a714d356e822
sabberworm/php-css-parser	v8.x-dev	e0a904e50a2aad46cd22aa37a358c76c7daabf37
symfony/deprecation-contracts	dev-main	63afe740e99a13ba87ec199bb07bbdee937a5b62
symfony/finder	5.4.x-dev	63741784cd7b9967975eec610b256eed3ede022b
symfony/http-client	5.4.x-dev	d77d8e212cde7b5c4a64142bf431522f19487c28
symfony/http-client-contracts	2.5.x-dev	48ef1d0a082885877b664332b9427662065a360c
symfony/options-resolver	7.4.x-dev	afb9a8038025e5dbc657378bfab9198d75f10fca
symfony/polyfill-intl-idn	v1.31.0	c36586dcf89a12315939e00ec9b4474adcb1d773
symfony/polyfill-intl-normalizer	1.x-dev	3833d7255cc303546435cb650316bff708a1c75c
symfony/polyfill-mbstring	v1.17.0	fa79b11539418b02fc5e1897267673ba2c19419c
symfony/polyfill-php73	1.x-dev	0f68c03565dcaaf25a890667542e8bd75fe7e5bb
symfony/polyfill-php80	1.x-dev	0cc9dd0f17f61d8131e7df6b84bd344899fe2608
symfony/service-contracts	dev-main	f021b05a130d35510bd6b25fe9053c2a8a15d5d4
symfony/translation	6.4.x-dev	7e3b3b7146c6fab36ddff304a8041174bf6e17ad
symfony/translation-contracts	dev-main	df210c7a2573f1913b2d17cc95f90f53a73d8f7d
symfony/var-dumper	7.4.x-dev	f3c60ef73a09e7f181b954cbc50a6a4cdbd43558
true/punycode	v2.1.1	a4d0c11a36dd7f4e7cd7096076cab6d3378a071e
voku/portable-ascii	1.6.1	87337c91b9dfacee02452244ee14ab3c43bc485a
webmozart/assert	1.11.0	11cb2199493b2f8a3b53e7f19068fc6aac760991
wikimedia/composer-merge-plugin	dev-master	ab7cf5e140e23ce603872780ab8b570cfaf9c1f9
woocommerce/action-scheduler	3.9.2	efbb7953f72a433086335b249292f280dd43ddfe
wpackagist-plugin/acf-extended	0.8.9.4	tags/0.8.9.4
wpackagist-plugin/autodescription	5.1.2	tags/5.1.2
wpackagist-plugin/cookies-and-content-security-policy	2.29	tags/2.29
wpackagist-plugin/fakerpress	0.6.6	tags/0.6.6
wpackagist-plugin/litespeed-cache	6.5.4	tags/6.5.4
